exchange,market,time,kind,gate,split,entry,gross_180,gross_300,gross_460,gross_600,gross_900,gross_1200,gross_1800,mfe600,mae600
binance,REUSDT,2026-08-19T11:56:28.374000+00:00,SINGLE_GATE_FAIL,sell_pressure_dominant,train,0.4209,0.07127583749109156,1.2354478498455723,1.449275362318847,1.4017581373247934,1.116654787360405,1.1641720123544808,1.2592064623426102,1.758137324780229,-0.3326205749584199
binance,ESPUSDT,2026-08-19T11:57:44.065000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.07797,0.0,0.0,-0.7182249583172928,-0.538668718737978,-0.1410799025266085,-0.08977811978966299,0.282159805053217,0.19238168526356514,-0.7951776324227167
binance,HEIUSDT,2026-08-19T11:58:21.146000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.1421,1.5482054890922026,3.37790288529205,5.066854327938053,4.92610837438423,1.8296973961998475,1.407459535538358,1.6185784658691027,6.263194933145666,-0.07037297677693344
binance,REUSDT,2026-08-19T11:58:51.927000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.4202,1.4040932889100244,1.7848643503093786,1.5706806282722585,1.5230842455973281,1.5944788196097015,1.4278914802475118,1.5944788196097015,1.9276534983341254,-0.16658733936221193
binance,EULUSDT,2026-08-19T12:00:52.587000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,1.257,0.0,-0.15910898965791898,-0.07955449482894839,-0.39777247414477523,-0.31821797931582685,-0.7159904534606132,0.6364359586316537,0.15910898965791898,-0.39777247414477523
binance,HEIUSDT,2026-08-19T12:01:30.536000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.1442,3.1900138696255187,3.5367545076282925,3.328710124826628,2.3578363384188616,-0.554785020804438,-0.4854368932038833,0.06934812760057696,4.715672676837723,-0.20804438280166426
binance,ESPUSDT,2026-08-19T12:01:30.536000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.07798,-0.5770710438573912,-0.5001282380097338,-0.2180046165683347,-0.35906642728903426,0.01282380097462621,0.0,0.1923570146191489,0.17953321364452268,-0.8078994614003521
binance,SIGNUSDT,2026-08-19T12:02:05.294000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00711,0.0,-1.1251758087201136,-0.8438818565400852,-1.5471167369901506,-3.0942334739803012,-1.6877637130801704,-3.3755274261603296,0.5625879043600568,-1.6877637130801704
binance,HEIUSDT,2026-08-19T12:03:56.187000+00:00,BUY,,train,0.1447,3.178991015894961,3.0407740152038842,2.0041465100207434,0.0,-0.4146510020732519,-0.8984105044920532,-0.20732550103662595,4.353835521769178,0.0
binance_futures,HEIUSDT,2026-08-19T12:03:56.765350+00:00,BUY,,train,0.14472,3.0541735765616362,2.7985074626865947,1.920950801547816,-0.0760088446655649,-0.5389718076285077,-0.9881149806522882,-0.2625760088446616,4.235765616362652,-0.16583747927030323
