exchange,split,cost_model,arm_bps,effective_arm_bps,n,mean,median,win_rate,p05,p95,loss_mean,baseline_mean,delta_mean,arm_rate,stop_rate
binance,validation,empirical_exec,75,75.0,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,100,100.0,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,fee_only,10,20.0,5,-0.19193239672661724,-0.2830794793685974,0.0,-0.3609038303733579,0.0,-0.3198873278776954,-0.17414229750767324,-0.017790099218943988,0.4,0.4
binance,validation,fee_only,15,20.0,5,-0.19193239672661724,-0.2830794793685974,0.0,-0.3609038303733579,0.0,-0.3198873278776954,-0.17414229750767324,-0.017790099218943988,0.4,0.4
binance,validation,fee_only,20,20.0,5,-0.19193239672661724,-0.2830794793685974,0.0,-0.3609038303733579,0.0,-0.3198873278776954,-0.17414229750767324,-0.017790099218943988,0.4,0.4
binance,validation,fee_only,25,25.0,5,-0.19193239672661724,-0.2830794793685974,0.0,-0.3609038303733579,0.0,-0.3198873278776954,-0.17414229750767324,-0.017790099218943988,0.4,0.4
binance,validation,fee_only,30,30.0,5,-0.19193239672661724,-0.2830794793685974,0.0,-0.3609038303733579,0.0,-0.3198873278776954,-0.17414229750767324,-0.017790099218943988,0.4,0.4
binance,validation,fee_only,40,40.0,5,-0.17414229750767324,-0.3006036217303885,0.2,-0.3628095377453409,0.2626502278742993,-0.31744853555584746,-0.17414229750767324,0.0,0.2,0.0
binance,validation,fee_only,50,50.0,5,-0.17414229750767324,-0.3006036217303885,0.2,-0.3628095377453409,0.2626502278742993,-0.31744853555584746,-0.17414229750767324,0.0,0.2,0.0
binance,validation,fee_only,60,60.0,5,-0.17414229750767324,-0.3006036217303885,0.2,-0.3628095377453409,0.2626502278742993,-0.31744853555584746,-0.17414229750767324,0.0,0.2,0.0
binance,validation,fee_only,75,75.0,5,-0.17414229750767324,-0.3006036217303885,0.2,-0.3628095377453409,0.2626502278742993,-0.31744853555584746,-0.17414229750767324,0.0,0.2,0.0
